Balancing,Model,AUC,Recall,F1
Random Undersampling,LightGBM,0.7661225778579217,0.6435568952524491,0.5224839400428265
Random Undersampling,XGBoost,0.7488607209948088,0.6420497362471741,0.4952048823016565
Random Undersampling,Random Forest,0.7590074359735601,0.6179351921627732,0.5137844611528822
Random Oversampling,LightGBM,0.7737109444481446,0.6126601356443104,0.5322422258592472
Random Oversampling,XGBoost,0.7511196856155976,0.5599095704596835,0.5023664638269101
SMOTE,Random Forest,0.7538368775329294,0.4905802562170309,0.5121951219512195
SMOTE + Tomek Links,Random Forest,0.7513381962567434,0.48681235870384326,0.5060712886799843
SMOTE + Tomek Links,LightGBM,0.767402759942597,0.4483798040693293,0.5057373565660859
SMOTE,LightGBM,0.7678325244139279,0.4348153730218538,0.4976282880551962
Random Oversampling,Random Forest,0.7563326560847313,0.4272795779954785,0.4956293706293706
SMOTE,XGBoost,0.7453585033940104,0.426525998492841,0.47844463229078615
SMOTE + Tomek Links,XGBoost,0.7479745837452917,0.4212509419743783,0.4825205006473889
Tomek Links,XGBoost,0.7590243685324681,0.41220798794272795,0.48817492190986167
Tomek Links,LightGBM,0.7741162776559082,0.40994724943481536,0.49635036496350365
Tomek Links,Random Forest,0.754726481925461,0.4084400904295403,0.4896115627822945
No Balancing,LightGBM,0.776512799160016,0.3632253202712886,0.46750727449078566
No Balancing,Random Forest,0.7601455458258742,0.3579502637528259,0.4600484261501211
No Balancing,XGBoost,0.7598737379397849,0.3519216277317257,0.45251937984496127
