Balancing,Model,AUC
No Balancing,LightGBM,0.776512799160016
Tomek Links,LightGBM,0.7741162776559082
Random Oversampling,LightGBM,0.7737109444481446
SMOTE,LightGBM,0.7678325244139279
SMOTE + Tomek Links,LightGBM,0.767402759942597
Random Undersampling,LightGBM,0.7661225778579217
No Balancing,Random Forest,0.7601455458258742
No Balancing,XGBoost,0.7598737379397849
Tomek Links,XGBoost,0.7590243685324681
Random Undersampling,Random Forest,0.7590074359735601
Random Oversampling,Random Forest,0.7563326560847313
Tomek Links,Random Forest,0.754726481925461
SMOTE,Random Forest,0.7538368775329294
SMOTE + Tomek Links,Random Forest,0.7513381962567434
Random Oversampling,XGBoost,0.7511196856155976
Random Undersampling,XGBoost,0.7488607209948088
SMOTE + Tomek Links,XGBoost,0.7479745837452917
SMOTE,XGBoost,0.7453585033940104
